fuñir,fuñó,1b
decepcionar,decepcionó,0a*
mamar,mamó,0a*
despenar,despenó,0a*
ejercitar,ejercitó,0a*
incriminar,incriminó,0a*
parametrar,parametró,0a*
desbarrancar,desbarrancó,0a*
anegar,anegó,0a*
desconfinar,desconfinó,0a*
capotar,capotó,0a*
decapar,decapó,0a*
devanar,devanó,0a*
oficializar,oficializó,0a*
pactar,pactó,0a*
tronchar,tronchó,0a*
prodigar,prodigó,0a*
prevaricar,prevaricó,0a*
encordar,encordó,0a*
indexar,indexó,0a*
colocar,colocó,0a*
resellar,reselló,0a*
trebejar,trebejó,0a*
sobrepoblar,sobrepobló,0a*
quebrar,quebró,0a*
amarrar,amarró,0a*
intubar,intubó,0a*
amueblar,amuebló,0a*
desenfundar,desenfundó,0a*
complementar,complementó,0a*
enflorar,enfloró,0a*
reinar,reinó,0a*
atropar,atropó,0a*
avizorar,avizoró,0a*
acuartelar,acuarteló,0a*
modernizar,modernizó,0a*
encarnar,encarnó,0a*
diezmar,diezmó,0a*
desainar,desainó,0a*
despepitar,despepitó,0a*
bizcar,bizcó,0a*
cursar,cursó,0a*
encatusar,encatusó,0a*
embolar,emboló,0a*
pugnar,pugnó,0a*
chamullar,chamulló,0a*
nasalizar,nasalizó,0a*
estacionar,estacionó,0a*
dilapidar,dilapidó,0a*
alzar,alzó,0a*
enrevesar,enrevesó,0a*
escorar,escoró,0a*
argentar,argentó,0a*
acondicionar,acondicionó,0a*
salivar,salivó,0a*
acobardar,acobardó,0a*
repletar,repletó,0a*
extrapolar,extrapoló,0a*
entresacar,entresacó,0a*
absolutizar,absolutizó,0a*
despertar,despertó,0a*
taquillar,taquilló,0a*
estimular,estimuló,0a*
refocilar,refociló,0a*
operativizar,operativizó,0a*
desenlazar,desenlazó,0a*
calmar,calmó,0a*
ladrar,ladró,0a*
movilizar,movilizó,0a*
aleatorizar,aleatorizó,0a*
regobernar,regobernó,0a*
pregonar,pregonó,0a*
señalar,señaló,0a*
despejar,despejó,0a*
controlar,controló,0a*
inactivar,inactivó,0a*
refanfinflar,refanfinfló,0a*
escusar,escusó,0a*
derrengar,derrengó,0a*
aforar,aforó,0a*
exudar,exudó,0a*
perfeccionar,perfeccionó,0a*
tranzar,tranzó,0a*
apisonar,apisonó,0a*
duplicar,duplicó,0a*
desconsiderar,desconsideró,0a*
yodurar,yoduró,0a*
vengar,vengó,0a*
aparejar,aparejó,0a*
masterizar,masterizó,0a*
descabalgar,descabalgó,0a*
dilucidar,dilucidó,0a*
desclavar,desclavó,0a*
embuchar,embuchó,0a*
desalinizar,desalinizó,0a*
vertebrar,vertebró,0a*
arrogar,arrogó,0a*
reconfigurar,reconfiguró,0a*
dictaminar,dictaminó,0a*
trastabillar,trastabilló,0a*
precautelar,precauteló,0a*
recitar,recitó,0a*
cimbrar,cimbró,0a*
empatizar,empatizó,0a*
satinar,satinó,0a*
hojaldrar,hojaldró,0a*
nitrificar,nitrificó,0a*
disfrutar,disfrutó,0a*
sensibilizar,sensibilizó,0a*
transfigurar,transfiguró,0a*
dispensar,dispensó,0a*
avocar,avocó,0a*
interoperar,interoperó,0a*
ilustrar,ilustró,0a*
cumular,cumuló,0a*
desertificar,desertificó,0a*
agujerar,agujeró,0a*
contornar,contornó,0a*
potencializar,potencializó,0a*
abroncar,abroncó,0a*
reenganchar,reenganchó,0a*
guindar,guindó,0a*
fortificar,fortificó,0a*
atravesar,atravesó,0a*
suplantar,suplantó,0a*
conllevar,conllevó,0a*
perpetrar,perpetró,0a*
embetunar,embetunó,0a*
contabilizar,contabilizó,0a*
temblar,tembló,0a*
cristianar,cristianó,0a*
acerar,aceró,0a*
hidratar,hidrató,0a*
edulcorar,edulcoró,0a*
quejar,quejó,0a*
desgobernar,desgobernó,0a*
desperar,desperó,0a*
desamparar,desamparó,0a*
rescaldar,rescaldó,0a*
atrasar,atrasó,0a*
vehiculizar,vehiculizó,0a*
texturizar,texturizó,0a*
pipar,pipó,0a*
aplastar,aplastó,0a*
misionar,misionó,0a*
laudar,laudó,0a*
atascar,atascó,0a*
arrullar,arrulló,0a*
algodonar,algodonó,0a*
abocar,abocó,0a*
sobrepujar,sobrepujó,0a*
acomplejar,acomplejó,0a*
genotipar,genotipó,0a*
derramar,derramó,0a*
acurrucar,acurrucó,0a*
abracar,abracó,0a*
vulgarizar,vulgarizó,0a*
propulsar,propulsó,0a*
ralbar,ralbó,0a*
expedicionar,expedicionó,0a*
horizontalizar,horizontalizó,0a*
anatematizar,anatematizó,0a*
ajardinar,ajardinó,0a*
desenclavar,desenclavó,0a*
exercitar,exercitó,0a*
bautizar,bautizó,0a*
preprogramar,preprogramó,0a*
puntualizar,puntualizó,0a*
ensopar,ensopó,0a*
encuerar,encueró,0a*
abribonar,abribonó,0a*
descerebrar,descerebró,0a*
endulzar,endulzó,0a*
sedentarizar,sedentarizó,0a*
confiscar,confiscó,0a*
exilar,exiló,0a*
razonar,razonó,0a*
trotar,trotó,0a*
prepintar,prepintó,0a*
tomar,tomó,0a*
comandar,comandó,0a*
malversar,malversó,0a*
follar,folló,0a*
rochar,rochó,0a*
embejucar,embejucó,0a*
encabar,encabó,0a*
hibernar,hibernó,0a*
desalar,desaló,0a*
asesorar,asesoró,0a*
desmayar,desmayó,0a*
quilatar,quilató,0a*
jalonar,jalonó,0a*
salpicar,salpicó,0a*
cegar,cegó,0a*
sobredeterminar,sobredeterminó,0a*
proyectar,proyectó,0a*
repintar,repintó,0a*
emascular,emasculó,0a*
provisionar,provisionó,0a*
desatentar,desatentó,0a*
desertizar,desertizó,0a*
retrepar,retrepó,0a*
topar,topó,0a*
descuartizar,descuartizó,0a*
ovillar,ovilló,0a*
sonrosar,sonrosó,0a*
rehabilitar,rehabilitó,0a*
neocolonizar,neocolonizó,0a*
purgar,purgó,0a*
desarmar,desarmó,0a*
creosotar,creosotó,0a*
sequestrar,sequestró,0a*
enyesar,enyesó,0a*
sellar,selló,0a*
domar,domó,0a*
peatonalizar,peatonalizó,0a*
vislumbrar,vislumbró,0a*
sobremedicar,sobremedicó,0a*
amadrinar,amadrinó,0a*
descuadrar,descuadró,0a*
vivar,vivó,0a*
apoderar,apoderó,0a*
reptar,reptó,0a*
atorgar,atorgó,0a*
baylar,bayló,0a*
engolosinar,engolosinó,0a*
tapar,tapó,0a*
cuadruplicar,cuadruplicó,0a*
centuplicar,centuplicó,0a*
compulsar,compulsó,0a*
titrar,titró,0a*
expurgar,expurgó,0a*
cooperativizar,cooperativizó,0a*
coronar,coronó,0a*
chirlar,chirló,0a*
abatanar,abatanó,0a*
enmascarar,enmascaró,0a*
tintar,tintó,0a*
escapar,escapó,0a*
expirar,expiró,0a*
clarificar,clarificó,0a*
acojonar,acojonó,0a*
husmar,husmó,0a*
patinar,patinó,0a*
profundar,profundó,0a*
fiscalizar,fiscalizó,0a*
trinchar,trinchó,0a*
exhortar,exhortó,0a*
alfabetizar,alfabetizó,0a*
acorar,acoró,0a*
remachar,remachó,0a*
agradar,agradó,0a*
entortijar,entortijó,0a*
boletinar,boletinó,0a*
niquelar,niqueló,0a*
engrapar,engrapó,0a*
confeccionar,confeccionó,0a*
tapiscar,tapiscó,0a*
disciplinar,disciplinó,0a*
cardar,cardó,0a*
ensamblar,ensambló,0a*
sobrevolar,sobrevoló,0a*
añejar,añejó,0a*
señar,señó,0a*
cocinar,cocinó,0a*
enconar,enconó,0a*
armonizar,armonizó,0a*
vinificar,vinificó,0a*
reforjar,reforjó,0a*
desabotonar,desabotonó,0a*
satirizar,satirizó,0a*
dinamizar,dinamizó,0a*
interlocutar,interlocutó,0a*
reclasificar,reclasificó,0a*
arramblar,arrambló,0a*
abrevar,abrevó,0a*
amoldar,amoldó,0a*
estabilizar,estabilizó,0a*
pechar,pechó,0a*
singar,singó,0a*
secularizar,secularizó,0a*
liquenizar,liquenizó,0a*
remontar,remontó,0a*
mielinizar,mielinizó,0a*
imprecar,imprecó,0a*
aplegar,aplegó,0a*
capar,capó,0a*
acuitar,acuitó,0a*
embarcar,embarcó,0a*
atraillar,atrailló,0a*
fisgar,fisgó,0a*
ionizar,ionizó,0a*
ranchar,ranchó,0a*
priorizar,priorizó,0a*
metastatizar,metastatizó,0a*
resecar,resecó,0a*
pigmentar,pigmentó,0a*
rechazar,rechazó,0a*
abrochar,abrochó,0a*
firmar,firmó,0a*
sarmentar,sarmentó,0a*
detallar,detalló,0a*
encolumnar,encolumnó,0a*
probar,probó,0a*
desechar,desechó,0a*
furular,furuló,0a*
ambientar,ambientó,0a*
aflamencar,aflamencó,0a*
emplomar,emplomó,0a*
destrenzar,destrenzó,0a*
sotar,sotó,0a*
apelotonar,apelotonó,0a*
plagar,plagó,0a*
arrostrar,arrostró,0a*
advocar,advocó,0a*
balcanizar,balcanizó,0a*
obcecar,obcecó,0a*
adelantar,adelantó,0a*
geolocalizar,geolocalizó,0a*
perturbar,perturbó,0a*
anillar,anilló,0a*
despellejar,despellejó,0a*
topetar,topetó,0a*
rimar,rimó,0a*
ejemplificar,ejemplificó,0a*
remusgar,remusgó,0a*
improbar,improbó,0a*
compaginar,compaginó,0a*
polinizar,polinizó,0a*
cuantizar,cuantizó,0a*
incitar,incitó,0a*
hegemonizar,hegemonizó,0a*
unificar,unificó,0a*
cabrahigar,cabrahigó,0a*
homosexualizar,homosexualizó,0a*
denominar,denominó,0a*
desencajar,desencajó,0a*
desglosar,desglosó,0a*
supervalorar,supervaloró,0a*
enguirnaldar,enguirnaldó,0a*
orquestar,orquestó,0a*
encanijar,encanijó,0a*
fatigar,fatigó,0a*
untar,untó,0a*
refigurar,refiguró,0a*
traspapelar,traspapeló,0a*
inmortalizar,inmortalizó,0a*
deshumidificar,deshumidificó,0a*
masturbar,masturbó,0a*
calar,caló,0a*
resecar,resecó,0a*
camuflajear,camuflajeó,0b*
falcacear,falcaceó,0b*
preciar,preció,0b*
expoliar,expolió,0b*
abejear,abejeó,0b*
simultanear,simultaneó,0b*
angustiar,angustió,0b*
pronunciar,pronunció,0b*
zorrear,zorreó,0b*
vaciar,vació,0b*
justipreciar,justipreció,0b*
resetear,reseteó,0b*
rumbiar,rumbió,0b*
sestear,sesteó,0b*
solear,soleó,0b*
atenuar,atenuó,0b*
cablear,cableó,0b*
monitorear,monitoreó,0b*
alear,aleó,0b*
costear,costeó,0b*
desvariar,desvarió,0b*
arrear,arreó,0b*
matrimoniar,matrimonió,0b*
galguear,galgueó,0b*
chivatear,chivateó,0b*
taxiar,taxió,0b*
otear,oteó,0b*
refotografiar,refotografió,0b*
juguetear,jugueteó,0b*
conferenciar,conferenció,0b*
botear,boteó,0b*
contrabandear,contrabandeó,0b*
procrear,procreó,0b*
barequear,barequeó,0b*
auspiciar,auspició,0b*
cancanear,cancaneó,0b*
incoar,incoó,0b*
inventariar,inventarió,0b*
fantasiar,fantasió,0b*
agujerear,agujereó,0b*
gorgotear,gorgoteó,0b*
trapear,trapeó,0b*
garrotear,garroteó,0b*
asociar,asoció,0b*
castañear,castañeó,0b*
geobloquear,geobloqueó,0b*
evidenciar,evidenció,0b*
truquear,truqueó,0b*
cachimbear,cachimbeó,0b*
tamborilear,tamborileó,0b*
loquear,loqueó,0b*
chamarilear,chamarileó,0b*
desaparear,desapareó,0b*
trocear,troceó,0b*
vidriar,vidrió,0b*
principiar,principió,0b*
capitanear,capitaneó,0b*
cencerrear,cencerreó,0b*
gitanear,gitaneó,0b*
escabiar,escabió,0b*
bromear,bromeó,0b*
solfear,solfeó,0b*
forcejear,forcejeó,0b*
mandonear,mandoneó,0b*
bulear,buleó,0b*
vitorear,vitoreó,0b*
webear,webeó,0b*
agriar,agrió,0b*
stalkear,stalkeó,0b*
timonear,timoneó,0b*
putear,puteó,0b*
nuclear,nucleó,0b*
pastorear,pastoreó,0b*
patalear,pataleó,0b*
guerrear,guerreó,0b*
menudear,menudeó,0b*
espoliar,espolió,0b*
malabarear,malabareó,0b*
enripiar,enripió,0b*
dimidiar,dimidió,0b*
pisotear,pisoteó,0b*
reguetonear,reguetoneó,0b*
coactuar,coactuó,0b*
chismear,chismeó,0b*
mercadear,mercadeó,0b*
comisariar,comisarió,0b*
deletrear,deletreó,0b*
chantajear,chantajeó,0b*
chantear,chanteó,0b*
pelotear,peloteó,0b*
machetear,macheteó,0b*
manotear,manoteó,0b*
farolear,faroleó,0b*
rodear,rodeó,0b*
chafardear,chafardeó,0b*
magancear,maganceó,0b*
exfoliar,exfolió,0b*
loquear,loqueó,0b*
rabear,rabeó,0b*
lotear,loteó,0b*
muestrear,muestreó,0b*
blandear,blandeó,0b*
llamear,llameó,0b*
recrear,recreó,0b*
obviar,obvió,0b*
alborear,alboreó,0b*
distanciar,distanció,0b*
oficiar,ofició,0b*
versear,verseó,0b*
renegociar,renegoció,0b*
chapurrear,chapurreó,0b*
agraciar,agració,0b*
metamorfosear,metamorfoseó,0b*
bordonear,bordoneó,0b*
propiciar,propició,0b*
matear,mateó,0b*
atarear,atareó,0b*
trompetear,trompeteó,0b*
choricear,choriceó,0b*
denunciar,denunció,0b*
petardear,petardeó,0b*
tantear,tanteó,0b*
salariar,salarió,0b*
pedorrear,pedorreó,0b*
puntuar,puntuó,0b*
sentenciar,sentenció,0b*
codiciar,codició,0b*
cuerear,cuereó,0b*
pololear,pololeó,0b*
reportear,reporteó,0b*
reenviar,reenvió,0b*
aparear,apareó,0b*
bastonear,bastoneó,0b*
frentear,frenteó,0b*
ansiar,ansió,0b*
circunstanciar,circunstanció,0b*
cariar,carió,0b*
albear,albeó,0b*
ampliar,amplió,0b*
expiar,expió,0b*
amnistiar,amnistió,0b*
secuenciar,secuenció,0b*
mutear,muteó,0b*
refugiar,refugió,0b*
baquetear,baqueteó,0b*
escanciar,escanció,0b*
descambiar,descambió,0b*
enjaguar,enjaguó,0b*
sisear,siseó,0b*
tapiar,tapió,0b*
agremiar,agremió,0b*
vivaquear,vivaqueó,0b*
embrear,embreó,0b*
alancear,alanceó,0b*
pelear,peleó,0b*
ripear,ripeó,0b*
jalear,jaleó,0b*
jalonear,jaloneó,0b*
barquear,barqueó,0b*
pichicatear,pichicateó,0b*
falsear,falseó,0b*
runrunear,runruneó,0b*
franquear,franqueó,0b*
planear,planeó,0b*
moquear,moqueó,0b*
flirtear,flirteó,0b*
canturrear,canturreó,0b*
chancear,chanceó,0b*
acicatear,acicateó,0b*
sargentear,sargenteó,0b*
demediar,demedió,0b*
bobear,bobeó,0b*
sablear,sableó,0b*
tambalear,tambaleó,0b*
enranciar,enranció,0b*
alinear,alineó,0b*
estudiar,estudió,0b*
pasear,paseó,0b*
hojear,hojeó,0b*
trapichear,trapicheó,0b*
chapotear,chapoteó,0b*
zurear,zureó,0b*
esquiar,esquió,0b*
culiar,culió,0b*
rumbear,rumbeó,0b*
capotear,capoteó,0b*
renquear,renqueó,0b*
clavetear,claveteó,0b*
linear,lineó,0b*
baldear,baldeó,0b*
adaguar,adaguó,0b*
olfatear,olfateó,0b*
tijeretear,tijereteó,0b*
copiar,copió,0b*
baquiar,baquió,0b*
deletear,deleteó,0b*
clarear,clareó,0b*
tunear,tuneó,0b*
putañear,putañeó,0b*
sabotear,saboteó,0b*
arcabucear,arcabuceó,0b*
carnear,carneó,0b*
anunciar,anunció,0b*
golpear,golpeó,0b*
aporrear,aporreó,0b*
varear,vareó,0b*
ronear,roneó,0b*
cablegrafiar,cablegrafió,0b*
insidiar,insidió,0b*
guasapear,guasapeó,0b*
rasguear,rasgueó,0b*
contornear,contorneó,0b*
intercambiar,intercambió,0b*
estanear,estaneó,0b*
zanganear,zanganeó,0b*
guataquear,guataqueó,0b*
canear,caneó,0b*
vadear,vadeó,0b*
autografiar,autografió,0b*
alburear,albureó,0b*
prear,preó,0b*
chismorrear,chismorreó,0b*
regodear,regodeó,0b*
datear,dateó,0b*
especiar,especió,0b*
maliciar,malició,0b*
expropiar,expropió,0b*
potear,poteó,0b*
menguar,menguó,0b*
carbonear,carboneó,0b*
fumblear,fumbleó,0b*
elogiar,elogió,0b*
carnavalear,carnavaleó,0b*
toquetear,toqueteó,0b*
mear,meó,0b*
camotear,camoteó,0b*
avaluar,avaluó,0b*
gerenciar,gerenció,0b*
saciar,sació,0b*
exiliar,exilió,0b*
caracolear,caracoleó,0b*
sondear,sondeó,0b*
ajusticiar,ajustició,0b*
parquear,parqueó,0b*
colorear,coloreó,0b*
bojear,bojeó,0b*
mantear,manteó,0b*
hermosear,hermoseó,0b*
ladear,ladeó,0b*
wasapear,wasapeó,0b*
formatear,formateó,0b*
notariar,notarió,0b*
exponenciar,exponenció,0b*
fastidiar,fastidió,0b*
tornear,torneó,0b*
zapatear,zapateó,0b*
marear,mareó,0b*
galantear,galanteó,0b*
abofetear,abofeteó,0b*
foguear,fogueó,0b*
basurear,basureó,0b*
parrandear,parrandeó,0b*
atrofiar,atrofió,0b*
repotenciar,repotenció,0b*
taclear,tacleó,0b*
voltear,volteó,0b*
trapalear,trapaleó,0b*
asquear,asqueó,0b*
farrear,farreó,0b*
sermonear,sermoneó,0b*
boquear,boqueó,0b*
doñear,doñeó,0b*
blofear,blofeó,0b*
subvaluar,subvaluó,0b*
pleitear,pleiteó,0b*
gandulear,ganduleó,0b*
atreguar,atreguó,0b*
drapear,drapeó,0b*
josear,joseó,0b*
granjear,granjeó,0b*
mosquear,mosqueó,0b*
rankear,rankeó,0b*
loncotear,loncoteó,0b*
rotomoldear,rotomoldeó,0b*
sanear,saneó,0b*
pajaronear,pajaroneó,0b*
trapacear,trapaceó,0b*
balsear,balseó,0b*
fondear,fondeó,0b*
chiquear,chiqueó,0b*
fotocopiar,fotocopió,0b*
insinuar,insinuó,0b*
driblear,dribleó,0b*
relampaguear,relampagueó,0b*
tamborear,tamboreó,0b*
maquear,maqueó,0b*
lisiar,lisió,0b*
cliquear,cliqueó,0b*
cristinear,cristineó,0b*
mecatear,mecateó,0b*
dañinear,dañineó,0b*
timbear,timbeó,0b*
besuquear,besuqueó,0b*
pajear,pajeó,0b*
desquiciar,desquició,0b*
mordisquear,mordisqueó,0b*
contextuar,contextuó,0b*
plagiar,plagió,0b*
escenografiar,escenografió,0b*
mostrear,mostreó,0b*
pestañear,pestañeó,0b*
cabrear,cabreó,0b*
amortiguar,amortiguó,0b*
tatuar,tatuó,0b*
tictaquear,tictaqueó,0b*
anticuar,anticuó,0b*
pintorrear,pintorreó,0b*
hombrear,hombreó,0b*
badajear,badajeó,0b*
experienciar,experienció,0b*
sapear,sapeó,0b*
eutanasiar,eutanasió,0b*
contrariar,contrarió,0b*
desahuciar,desahució,0b*
chasquear,chasqueó,0b*
broncear,bronceó,0b*
turquear,turqueó,0b*
becerrear,becerreó,0b*
bachear,bacheó,0b*
victorear,victoreó,0b*
fedatear,fedateó,0b*
quintaesenciar,quintaesenció,0b*
saquear,saqueó,0b*
corcovear,corcoveó,0b*
lampasear,lampaseó,0b*
gostear,gosteó,0b*
tartamudear,tartamudeó,0b*
pendonear,pendoneó,0b*
necear,neceó,0b*
arpegiar,arpegió,0b*
continuar,continuó,0b*
pintarrajear,pintarrajeó,0b*
palmotear,palmoteó,0b*
crackear,crackeó,0b*
berrear,berreó,0b*
pifiar,pifió,0b*
sandunguear,sandungueó,0b*
enbiar,enbió,0b*
fregotear,fregoteó,0b*
rumorear,rumoreó,0b*
licuar,licuó,0b*
ataviar,atavió,0b*
reformatear,reformateó,0b*
acachetear,acacheteó,0b*
abejorrear,abejorreó,0b*
corear,coreó,0b*
miniar,minió,0b*
fotografiar,fotografió,0b*
piquetear,piqueteó,0b*
chopear,chopeó,0b*
lesear,leseó,0b*
interactuar,interactuó,0b*
barajear,barajeó,0b*
martillear,martilleó,0b*
boletear,boleteó,0b*
variar,varió,0b*
polvorear,polvoreó,0b*
ripiar,ripió,0b*
desgraciar,desgració,0b*
camorrear,camorreó,0b*
licenciar,licenció,0b*
desconceptuar,desconceptuó,0b*
columpiar,columpió,0b*
chapucear,chapuceó,0b*
intermediar,intermedió,0b*
xerocopiar,xerocopió,0b*
evaluar,evaluó,0b*
ventear,venteó,0b*
pajarear,pajareó,0b*
barretear,barreteó,0b*
vanagloriar,vanaglorió,0b*
soguear,sogueó,0b*
recambiar,recambió,0b*
motear,moteó,0b*
retuitear,retuiteó,0b*
cachurear,cachureó,0b*
disociar,disoció,0b*
enunciar,enunció,0b*
stanear,staneó,0b*
cabrestear,cabresteó,0b*
picotear,picoteó,0b*
boicotear,boicoteó,0b*
orear,oreó,0b*
vaporear,vaporeó,0b*
pilotear,piloteó,0b*
verguear,vergueó,0b*
roquear,roqueó,0b*
confiar,confió,0b*
envidiar,envidió,0b*
preceptuar,preceptuó,0b*
racanear,racaneó,0b*
sustanciar,sustanció,0b*
repatear,repateó,0b*
desambiguar,desambiguó,0b*
parapetear,parapeteó,0b*
balancear,balanceó,0b*
tabletear,tableteó,0b*
rasquetear,rasqueteó,0b*
extraviar,extravió,0b*
postear,posteó,0b*
terciar,terció,0b*
teclear,tecleó,0b*
pastelear,pasteleó,0b*
compadrear,compadreó,0b*
placear,placeó,0b*
malcriar,malcrió,0b*
presagiar,presagió,0b*
tontear,tonteó,0b*
garronear,garroneó,0b*
enseñorear,enseñoreó,0b*
preanunciar,preanunció,0b*
telefonear,telefoneó,0b*
noticiar,notició,0b*
cajonear,cajoneó,0b*
malear,maleó,0b*
zancadillear,zancadilleó,0b*
resfriar,resfrió,0b*
incordiar,incordió,0b*
galonear,galoneó,0b*
balacear,balaceó,0b*
coauspiciar,coauspició,0b*
carretear,carreteó,0b*
gulusmear,gulusmeó,0b*
desliar,deslió,0b*
potenciar,potenció,0b*
estoquear,estoqueó,0b*
excoriar,excorió,0b*
agenciar,agenció,0b*
zascandilear,zascandileó,0b*
ojear,ojeó,0b*
pendejear,pendejeó,0b*
flambear,flambeó,0b*
arreciar,arreció,0b*
consensuar,consensuó,0b*
capear,capeó,0b*
comerciar,comerció,0b*
cunear,cuneó,0b*
remolinear,remolineó,0b*
forrajear,forrajeó,0b*
pintear,pinteó,0b*
desafiar,desafió,0b*
escasear,escaseó,0b*
setear,seteó,0b*
extenuar,extenuó,0b*
mangonear,mangoneó,0b*
pifear,pifeó,0b*
cabestrear,cabestreó,0b*
husmear,husmeó,0b*
googlear,googleó,0b*
guarachear,guaracheó,0b*
gorjear,gorjeó,0b*
zancajear,zancajeó,0b*
privilegiar,privilegió,0b*
voltejear,voltejeó,0b*
cloquear,cloqueó,0b*
carterear,cartereó,0b*
historiar,historió,0b*
codear,codeó,0b*
nukear,nukeó,0b*
zamarrear,zamarreó,0b*
anoticiar,anotició,0b*
chequear,chequeó,0b*
escuelear,escueleó,0b*
calumniar,calumnió,0b*
radiografiar,radiografió,0b*
atestiguar,atestiguó,0b*
rojear,rojeó,0b*
cacerolear,caceroleó,0b*
silenciar,silenció,0b*
cuartear,cuarteó,0b*
ventosear,ventoseó,0b*
dippear,dippeó,0b*
replantear,replanteó,0b*
testimoniar,testimonió,0b*
turistear,turisteó,0b*
buitrear,buitreó,0b*
renunciar,renunció,0b*
ñoñear,ñoñeó,0b*
cabildear,cabildeó,0b*
jarrear,jarreó,0b*
fildear,fildeó,0b*
lloriquear,lloriqueó,0b*
residenciar,residenció,0b*
franjear,franjeó,0b*
galopear,galopeó,0b*
conciliar,concilió,0b*
escamotear,escamoteó,0b*
pespuntear,pespunteó,0b*
chicanear,chicaneó,0b*
twittear,twitteó,0b*
cuchuchear,cuchucheó,0b*
puntear,punteó,0b*
bichear,bicheó,0b*
curvear,curveó,0b*
serpentear,serpenteó,0b*
hanguear,hangueó,0b*
arquear,arqueó,0b*
biografiar,biografió,0b*
rockanrolear,rockanroleó,0b*
florear,floreó,0b*
trolear,troleó,0b*
grafitear,grafiteó,0b*
cucharetear,cuchareteó,0b*
hastiar,hastió,0b*
recatear,recateó,0b*
salsear,salseó,0b*
lancear,lanceó,0b*
titubear,titubeó,0b*
linquear,linqueó,0b*
apremiar,apremió,0b*
rafaguear,rafagueó,0b*
tutear,tuteó,0b*
flanquear,flanqueó,0b*
cesantear,cesanteó,0b*
moldear,moldeó,0b*
altear,alteó,0b*
rastrear,rastreó,0b*
hormiguear,hormigueó,0b*
serpear,serpeó,0b*
custodiar,custodió,0b*
compendiar,compendió,0b*
aliar,alió,0b*
bolsear,bolseó,0b*
repudiar,repudió,0b*
pipetear,pipeteó,0b*
barbotear,barboteó,0b*
visoriar,visorió,0b*
draftear,drafteó,0b*
chinear,chineó,0b*
redondear,redondeó,0b*
cojear,cojeó,0b*
anestesiar,anestesió,0b*
pispear,pispeó,0b*
cafichear,caficheó,0b*
pastear,pasteó,0b*
charquear,charqueó,0b*
arriar,arrió,0b*
colear,coleó,0b*
evacuar,evacuó,0b*
remoldear,remoldeó,0b*
desaguar,desaguó,0b*
cecear,ceceó,0b*
pandear,pandeó,0b*
taponear,taponeó,0b*
cuerpear,cuerpeó,0b*
cacarear,cacareó,0b*
hociquear,hociqueó,0b*
cachiporrear,cachiporreó,0b*
aviar,avió,0b*
reverdecer,reverdeció,0c*
entontecer,entonteció,0c*
embellecer,embelleció,0c*
comer,comió,0c*
blanquecer,blanqueció,0c*
mover,movió,0c*
empequeñecer,empequeñeció,0c*
destejer,destejió,0c*
rejuvenecer,rejuveneció,0c*
florecer,floreció,0c*
adormecer,adormeció,0c*
ennoblecer,ennobleció,0c*
reemprender,reemprendió,0c*
trascender,trascendió,0c*
enlentecer,enlenteció,0c*
romper,rompió,0c*
socorrer,socorrió,0c*
permanecer,permaneció,0c*
intender,intendió,0c*
someter,sometió,0c*
relamer,relamió,0c*
ceder,cedió,0c*
guarnecer,guarneció,0c*
prender,prendió,0c*
endurecer,endureció,0c*
emulger,emulgió,0c*
negrecer,negreció,0c*
retroceder,retrocedió,0c*
escaecer,escaeció,0c*
enmudecer,enmudeció,0c*
enriquecer,enriqueció,0c*
sorprender,sorprendió,0c*
esmorecer,esmoreció,0c*
equivaler,equivalió,0c*
enternecer,enterneció,0c*
converger,convergió,0c*
correr,corrió,0c*
desfallecer,desfalleció,0c*
enrojecer,enrojeció,0c*
encanecer,encaneció,0c*
renacer,renació,0c*
perecer,pereció,0c*
retorcer,retorció,0c*
palidecer,palideció,0c*
temer,temió,0c*
ensoberbecer,ensoberbeció,0c*
encoger,encogió,0c*
encarnecer,encarneció,0c*
comprender,comprendió,0c*
nacer,nació,0c*
reprender,reprendió,0c*
bolver,bolvió,0c*
subyacer,subyació,0c*
yacer,yació,0c*
entretejer,entretejió,0c*
entristecer,entristeció,0c*
prever,previó,0c*
entender,entendió,0c*
robustecer,robusteció,0c*
desproteger,desprotegió,0c*
resorber,resorbió,0c*
emputecer,emputeció,0c*
extender,extendió,0c*
depender,dependió,0c*
escarnecer,escarneció,0c*
mulger,mulgió,0c*
conmover,conmovió,0c*
responder,respondió,0c*
compeler,compelió,0c*
tacer,tació,0c*
prometer,prometió,0c*
embrutecer,embruteció,0c*
restablecer,restableció,0c*
envejecer,envejeció,0c*
entenebrecer,entenebreció,0c*
pretender,pretendió,0c*
recoser,recosió,0c*
subtender,subtendió,0c*
defender,defendió,0c*
ofender,ofendió,0c*
malentender,malentendió,0c*
coger,cogió,0c*
preceder,precedió,0c*
cocer,coció,0c*
proteger,protegió,0c*
endentecer,endenteció,0c*
agradecer,agradeció,0c*
sobrentender,sobrentendió,0c*
envilecer,envileció,0c*
demoler,demolió,0c*
expeler,expelió,0c*
desguarnecer,desguarneció,0c*
empobrecer,empobreció,0c*
resolver,resolvió,0c*
remover,removió,0c*
arremeter,arremetió,0c*
solver,solvió,0c*
deber,debió,0c*
recrecer,recreció,0c*
contender,contendió,0c*
recocer,recoció,0c*
interceder,intercedió,0c*
obedecer,obedeció,0c*
enceguecer,encegueció,0c*
reaparecer,reapareció,0c*
adolecer,adoleció,0c*
